id,valid,field_f1,event_type,warning_id,issued_at,valid_from,valid_to,geometry,location_name,agency,entities,unsupported,omitted,geo_resolved,triggers,latency_s,error
01_navtex_en_nav_warning,1,0.704,1.00,1.00,0.00,1.00,1.00,1.00,0.33,1.00,0.00,issued_at,,1,unsupported_fact,55.160,
02_navtex_en_exercise_polygon,1,0.444,1.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,issued_at;valid_from;geometry,,0,geometry_outside_baltic;unsupported_fact,65.478,
03_navtex_en_corrupted_stars,1,0.481,1.00,0.00,0.00,1.00,1.00,0.00,0.33,1.00,0.00,issued_at;geometry,,0,unsupported_fact,53.879,
04_bhmw_pl_cable_works,1,0.556,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,geometry;entities,,0,unsupported_fact,93.097,
05_bhmw_pl_wreck,1,0.707,1.00,1.00,0.00,1.00,1.00,0.00,0.36,1.00,1.00,issued_at;geometry,,0,unsupported_fact,52.619,
06_vhf_pl_voice_report,1,0.444,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,geometry,,0,geometry_outside_baltic;unsupported_fact,50.253,
07_vhf_en_voice_report,1,0.667,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,geometry;entities,,0,geometry_outside_baltic;unsupported_fact,47.921,
08_navtex_en_gale_warning,1,0.556,1.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,issued_at;valid_from;geometry;entities,,1,unsupported_fact,54.936,
09_navtex_en_fldigi_garbled,1,0.556,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,issued_at;entities,,1,geometry_outside_baltic;unsupported_fact,54.982,
10_bhmw_pl_prompt_injection,1,0.485,0.00,1.00,0.00,1.00,1.00,0.00,0.36,1.00,0.00,issued_at;geometry,,0,unsupported_fact,67.753,
