id,valid,field_f1,event_type,warning_id,issued_at,valid_from,valid_to,geometry,location_name,agency,entities,unsupported,omitted,geo_resolved,triggers,latency_s,error
01_navtex_en_nav_warning,1,0.704,1.00,1.00,1.00,1.00,1.00,0.00,0.33,1.00,0.00,geometry,,0,unsupported_fact,155.533,
02_navtex_en_exercise_polygon,1,0.505,1.00,1.00,0.00,0.00,0.00,1.00,0.55,1.00,0.00,issued_at,valid_from;valid_to,1,unsupported_fact,197.401,
03_navtex_en_corrupted_stars,1,0.481,1.00,0.00,0.00,1.00,1.00,0.00,0.33,1.00,0.00,issued_at;geometry,,0,unsupported_fact,130.034,
04_bhmw_pl_cable_works,1,0.722,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.50,issued_at;entities,,1,unsupported_fact,156.084,
05_bhmw_pl_wreck,1,0.882,1.00,1.00,0.00,1.00,1.00,1.00,0.94,1.00,1.00,issued_at,,1,unsupported_fact,137.235,
06_vhf_pl_voice_report,1,0.556,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,entities,event_type;geometry;location_name,0,type_unknown;no_location;unsupported_fact,111.335,
07_vhf_en_voice_report,1,0.556,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,geometry,,0,unsupported_fact,119.310,
08_navtex_en_gale_warning,1,0.889,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,geometry,,1,geometry_outside_baltic;unsupported_fact,123.222,
09_navtex_en_fldigi_garbled,0,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,event_type;warning_id;issued_at;location_name;agency,0,schema_invalid,235.326,
10_bhmw_pl_prompt_injection,1,0.660,0.00,1.00,0.00,1.00,1.00,1.00,0.94,1.00,0.00,issued_at;entities,,1,unsupported_fact,135.515,
