id,valid,field_f1,event_type,warning_id,issued_at,valid_from,valid_to,geometry,location_name,agency,entities,unsupported,omitted,geo_resolved,triggers,latency_s,error
01_navtex_en_nav_warning,1,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,issued_at;valid_from;valid_to;geometry,,0,geometry_outside_baltic;unsupported_fact,10.458,
02_navtex_en_exercise_polygon,1,0.141,1.00,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.00,issued_at;valid_from;valid_to;geometry;location_name,,0,geometry_outside_baltic;unsupported_fact,10.973,
03_navtex_en_corrupted_stars,1,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,issued_at;valid_from;valid_to;geometry,,0,unsupported_fact,10.164,
04_bhmw_pl_cable_works,1,0.019,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,warning_id;issued_at;valid_to;geometry;entities,,0,unsupported_fact,11.189,
05_bhmw_pl_wreck,1,0.133,0.00,0.00,0.00,0.00,0.00,0.00,0.20,1.00,0.00,issued_at;valid_from;valid_to;geometry,,0,unsupported_fact,10.384,
06_vhf_pl_voice_report,1,0.111,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,issued_at;valid_from;valid_to;geometry;location_name;entities,,0,geometry_outside_baltic;unsupported_fact,10.103,
07_vhf_en_voice_report,1,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,issued_at;valid_from;valid_to;geometry;location_name,,0,unsupported_fact,10.298,
08_navtex_en_gale_warning,1,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,issued_at;valid_from;valid_to;agency,,0,geometry_outside_baltic;unsupported_fact,9.600,
09_navtex_en_fldigi_garbled,1,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,issued_at;valid_from;valid_to;geometry;location_name;entities,,0,geometry_outside_baltic;unsupported_fact,10.909,
10_bhmw_pl_prompt_injection,1,0.111,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,warning_id;issued_at;valid_from;valid_to;geometry;location_name,,0,unsupported_fact,10.892,
